"Alan Turing";"alan@computacao.com";"1001"
"Ada Lovelace";"ada@programacao.com";"1002"
"Linus Torvalds";"linus@linux.com";"1003"
"Margaret Hamilton";"margaret@codigo.com";"1004"
"Grace Hopper";"grace@apollo.com";"1005"
"Tim Berners-Lee";"tim@web.com";"1006"
"Dennis Ritchie";"dennis@c.com";"1007"
"Ken Thompson";"ken@unix.com";"1008"
"Bjarne Stroustrup";"bjarne@cpp.com";"1009"
"James Gosling";"james@java.com";"1010"
"Guido van Rossum";"guido@python.com";"1011"
"Brendan Eich";"brendan@js.com";"1012"
"Haskell Curry";"haskell@funcional.com";"1013"
"Alonzo Church";"alonzo@lambda.com";"1014"
"John McCarthy";"john@lisp.com";"1015"
"Claude Shannon";"claude@info.com";"1016"
"Edsger Dijkstra";"edsger@grafos.com";"1017"
"Donald Knuth";"donald@algoritmo.com";"1018"
"Tony Hoare";"tony@quicksort.com";"1019"
"Richard Stallman";"richard@gnu.com";"1020"
"Steve Wozniak";"steve@apple.com";"1021"
"Bill Gates";"bill@ms.com";"1022"
"Paul Allen";"paul@ms.com";"1023"
"John von Neumann";"john@arquitetura.com";"1024"
"Brian Kernighan";"brendan@c.com";"1025"
"Ken Williams";"ken@dev.com";"1026"
"Roberta Williams";"roberta@sierra.com";"1027"
"Gabe Newell";"gabe@valve.com";"1028"
"Satoshi Nakamoto";"satoshi@crypto.com";"1029"
"Vitalik Buterin";"vitalik@eth.com";"1030"
"Larry Page";"larry@google.com";"1031"
"Sergey Brin";"sergey@google.com";"1032"
"Mark Zuckerberg";"mark@meta.com";"1033"
"Elon Musk";"elon@x.com";"1034"
"Jack Dorsey";"jack@twitter.com";"1035"
"Kevin Syst9om";"kevin@insta.com";"136"
"Jan Koum";"jan@insta.com""1037"
"Evan Spie!gel";"evan@snap.com";"1038"
"Steve Jo@bs";"jobs@apple.com";"1039"
"Mateus Chedraoui";"mateusbcc.com";"1040"
